stars,comment
5.0 out of 5 stars,"









  
  
    
  I have zero complaints about this console and if you like the Xbox one x then you will absolutely love this Xbox. It is quieter and runs cooler while also being far more powerful. It runs games incredibly smooth so if you are thinking about getting one then I fully recommend it.

  
"
5.0 out of 5 stars,"









  
  
    
  Coming from the Xbox One X I have personally noticed a giant different in smoothness and image quality with Gears 5. I played in awe the entire way through the game on the Series X. It’s a beautiful machine that performs well, and it has surpassed all of my expectations. Assassins Creed Valhalla was the game that really impressed me the most on performance mode. Any worries about no true next gen games went right out the window after playing this game. All games load super fast and it is fantastic. I’m used to loading a game, picking my phone, up and scrolling through social media, etc. With the Series X a game will load so fast that by the time I pick my phone up and open an app that I put it down right away, because I’m in the game already. Each game differs in loading time but boy this machine is fast. Quick Resume works well on older games, and another added bonus. The 4K player plays my movies and they look and sound beautiful as well. It’s also silent to my ears and it lives up to its hype. This was also a preorder and Amazon delivered on launch day and even early in the day as well.

  
"
3.0 out of 5 stars,"









  
  
    
  Consol works nice controller that came with it is giving a whole lot of feedback everyone sounds like poop and I sound like poop and I'm using an expensive headset that works fine on everything else including the Xbox one but for some reason it makes me sound like a robot on the series x

  
"
5.0 out of 5 stars,"









  
  
    
  Shipping and Delivery: My Series X came on launch day as promised. The main box was in a brown padded shipping box. Shout out for that to Amazon. It gives me faith in their shipping process, and with their shipping partner. In my case it was UPS. My personal experience anyways.The Gaming Experience: As for the console, it’s a real monster. It’s like upgrading your PC after 7 years. An instant feeling of power, speed snd graphical output. So yes, you will notice the difference in power, big time, going from the Xbox One to the Series X especially. It’s quick and snappy. The SSD delivers, giving an instant boot up and extremely quick loading times in titles across the generations, whether it’s from 5 years ago or this week. This holds true especially in Series X|S optimized games. I decided to break it in with two games AC: Valhalla and Doom Eternal. It’s as promised. Richer, more dynamic worlds. Fluid frame rates. I couldn’t praise it enough. Ever want to know what a game feels like on a top of the line gaming PC but through the console experience? Series X will deliver on that. I couldn’t be more pleased.The Build: Again, Team Xbox delivered. A solid 14 pounds. So no small console. But it’s top notch in build quality. Heavy, sturdy and striking. I personally believe it’s the finest looking piece of tech in my house. It keeps asking for me to appreciate it as it sits silently in the corner, and each time I turn my head to give it that appreciation. The Series X looks like the premium 500 dollar device it is marked as. Hands down.

  
"
5.0 out of 5 stars,"









  
  
    
  Back in 2013, both Microsoft and Sony launched the Xbox One and PlayStation 4 (respectively). Compared to the generation prior (Xbox 360 and PS3) and how those compared to current PC's of the day, the seventh console generation did not start well. From false promises from Mark Cerny about the PS4 hitting 1080p and 60FPS for every game, to Microsoft's loss of focus on gaming... couple that with the less than impressive comparison to PC's, and you would find the apology for sale a few years later with the PS4 Pro and Xbox One X. Those were what we should have gotten to kick of a generation.Now here we are in 2020. The only downside has been acquiring one of the consoles and the lack of supply due to COVID-19. The Xbox Series X (seriously, Microsoft needs to do something about the naming) is a great offering with great value tucked away inside of the Xbox service.Without getting deep into the technical specs, I will highlight some key differences between the Series X and the One X. The SSD is first. Fast load times across the board for games and the system itself. The 1TB is not what you get in full, but it is not an issue if you keep a small catalogue of installed games. Currently with 6 games installed (AC: Valhalla, Destiny 2 ((all expansions)), GTA V, Red Dead Redemption 2 and Watch Dogs Legion), i am sitting at 357.5GB of free space. The frame rates are great with the ability to keep a steady 60FPS and achieve up to 120FPS. 4K is glorious with HDR. The Ray Tracing that some games have is a really nice touch, but unless you stop to smell the roses (or in this case the, wander up and stare at them), it doesn't jump out at you.Otherwise the console is impressive. Not a single sound has come from the machine in my few hours (extended this evening) of play time. The start up speed is incredibly fast and this is both from a fresh boot, to the low-power mode, to the unplugging method. Quick Resume is something to appreciate as well. Being able to have a handful of games running at once is a nice feature especially if you are one who has game ADD, or want to hop back into a single-player game after having a multiplayer session with friends.The new controller is built on the old saying, ""If it ain't broke, don't fix it."" While Sony went with a new design and functionality for the PS5 with the DuelSense controller (seriously the haptic feedback is a cool addition, but I have a weird feeling it will fade out at some point), I can't help but feel Microsoft kinda missed a chance with the Series X controller, by not adding a similar feature. However, the controller feels lighter than the last, that could be due to the fact I am using batteries instead of a play and charge kit. It feels also, slightly slimmer all around, but the shape is still ergonomically pleasing for any hand to hold. I don't mind the absence of an internal battery pack. I find that the play and charge is a nice option, and that with batteries you never have to worry about being plugged in. The jump to USB type C is nice as well, as most of the devices I own use that port exclusively. Added on to the controller's body is a texture around the back of the hand grips and the tops of the triggers. My grip feels more stable and connected. Also, the addition of a share button is nice for two reasons. First it is a great way to capture what you want without sacrificing gameplay or being vulnerable in a multiplayer title. And 2, it allows for screenshots to now be captured that when being taken by hitting the Guide button, would sometimes cause elements to disappear.As for the value tucked away that I mentioned, that comes thanks to Game Pass. A service I was not fully sold on when it was announced, but as time went on, I became interested and am now a member. And now with them (Microsoft) partnering with EA to bring EA Access to game pass, it makes me wonder what the future holds.

  
"
5.0 out of 5 stars,"









  
  
    
  I noticed the two reviews for this console are people that were upset that they didn't get one. Hopefully Amazon will remove these. I have purchased the Series X, and am very happy with what I got. The loading times are great, the games look and play great, and the console is super quiet. If you have Game Pass, you can't go wrong with this purchase, and if you don't, you should get Game Pass. It really is a great console, and I can't wait to see what games will be coming out for it in the future.

  
"
5.0 out of 5 stars,"









  
  
    
  This console is so powerful it feels so nice, glad i bought a 4K TV to enjoy it even more!

  
"
5.0 out of 5 stars,"









  
  
    
  It is an amazing console... I find it ridiculous how some of the negative reviews are based on no exclusives at launch. Like didn't they know that before pre ordering?The fact that I still haven't played many titles due to my busy life, there are so may games I can play off the bat on day one with this console. The fact that every game I played on the Series X runs so fast with loading time, and higher and steadier frame rates impresses me. Definitely a great upgrade from my Xbox One X to the Series X.I was able to simply use the 2 hard drives I had on the One X to the Series X with no problem, but if I want to play a game where I would want the Series X to take advantage of speed and performance, I would have it in the Series X's Internal drive, or in the SSD Seagate 1TB that goes behind the console.$500 for what it includes on the specs alone is a heck of a deal.5/5 No doubt. Xbox and Microsoft did an amazing job witwith this console in every way.

  
"
5.0 out of 5 stars,"









  
  
    
  Set up was a pain with a Gmail account for my Xbox account..but after that everything is great! 1tb fills up fast though! Forza Horizon 4 looks great, but can't wait to see cyberpunk on this!! The green showing from the top is just colored plastic, not a light (which I was concerned about)

  
"
4.0 out of 5 stars,"









  
  
    
  This is above and beyond the best Xbox console to date, however there are system updates still needed to improve the overall performance in games. Due to the fact that Microsoft waited for AMD to finalize the RDNA 2 feature set so the Series consoles could have the entire feature set, the system is behind in terms of max performance capabilities. Once these system updates roll out and the system fully utilizes the full RDNA 2 feature set and games are taking full advantage of them, we should see the full potential of the console. Early on there seems to be some slight performance issues with the cross gen titles at least. Still very happy with Xbox and the direction it's going as a gaming platform.

  
"
5.0 out of 5 stars,"









  
  
    
  Xbox Series X is everything I hope and dreamed it would be! The first game I played on it was Assassin's Creed:Valhalla! It looks absolutely amazing! 4k resolution at 60 frames per second! Load times are extremely quick thanks to the custom SSD Harddrive. The new Controller is pretty awesome too. It has new grips on the back of the controller and also on the triggers. There is also a new share button on it that allows you to take screenshots of the games you are playing. If you hold the button down it records a game clip. Xbox Game Pass Ultimate is really awesome with Xbox Series X. Xbox Game Pass Ultimate now includes EA play at no additional cost. EA Play contains over 70 games. I highly recommend getting an Xbox Series X if you want to experience true next gen gaming!

  
"
4.0 out of 5 stars,"









  
  
    
  Have had it for 2 weeks now. Gotta say that it's a pretty cool console. If you have an XONE or OneX you'll feel familiar with the ui since it's basically the same. Now there aren't that many games that scream Next gen yet. Though the upgrades for series x/s optimized games are very cool with more incoming. As it stands, besides things like quick resume(which has it's few issues like not working 100% of the time), faster loading times, this gen is barely starting. So don't fret if you haven't been able to get one yet. Another point with these new consoles (ps5 included) is that in order to play at 4k 120 frames per second you need a tv that has hdmi 2.1. I went with an LG un 65nano85una. Awesome tv and not as pricey as oleds.

  
"
5.0 out of 5 stars,"









  
  
    
  The product is top notch. I am able to use all my Xbox One accessories on it. The load times are very fast. The system itself is very quiet. The step up from my previous Xbox is amazing. I highly recommend this product. The quality is amazing with 4K up to 120FPS (my tv is capped at 4K and 60 FPS, until I buy a 120hz tv/monitor). In person the console looks very sleek as well. I could go on for a while, it is everything you want in a console and more.

  
"
3.0 out of 5 stars,"









  
  
    
  Super excited after waiting, I finally got it today! Maybe 2 to 3 hours of play it shut off on me completely with no warning! I was in the middle of a call of duty game and it just gave out! I turn it on again and sure enough it shut off on me an hour into my game play!

  
"
5.0 out of 5 stars,"









  
  
    
  Preordered September 22nd. Received package on launch day.This console is amazing. You’ve never experienced load times as fast as the Series X on any other console. The 4K HDR at 120hz is insane.The games can only get better from here. I’ve had no problem with my Xbox and highly praise it.Don’t buy from the scalpers. Be patient. Buy it at MSRP.

  
"
5.0 out of 5 stars,"









  
  
    
  Very fast loading times, excellent graphics, no software bugs that I can tell, which along with the fantastic value of Gamepass Ultimate is what sets it apart from the PS5 for me. The PS5 crashes sometimes and the new PS5 menu isn't as good as the old one. In contrast, the Xbox menu is unchanged overall and just works well. It's auto-resume feature is fantastic. It is also completely silent. I put decals on mine to give the black brick a little personality.

  
"
4.0 out of 5 stars,"









  
  
    
  I was supposed to get this on launch day but for some reason it stayed around in Georgia for 24 hours. I got it on the 11 and I noticed that a screw was loose. Not a little screw either but a big one. Doesn't even seem like the kind of screw that would even be used in the console. I wedged it into a corner because I didn't have any tools on me that could pull it out and then I tried the system out to see if it would run. I had it running for over 7 hours with no issues.  I have something that can pull the screw out at work and I will bring that to home with me to remove the screw. I saw a few reports of the screws falling out of other people's series x but the screws I've seen don't look like the one I have. Just wanted to mention this incase Microsoft, Amazon, or a potential customer is looking at reviews. I'm going to keep the system but if it dies on me after the return window closes I will forever curse the name Microsoft and the year 2020.

  
"
5.0 out of 5 stars,"









  
  
    
  Let me tell you the graphics, colors and FPS is greatly noticeable. I came from a PS4 and could not get a PS5. Anyone who writes a review that says it is not a huge jump must be a fanboy for PS or has a high end PC. This console is amazing at playing backwards compatible games and the FPS is highly noticeable. Every game looks stunning in 4k and the colors pop out more than before. If you have an Xbox one you will love this console. If you are like me you may need to buy new games in a different environment. Do not hate on any console, only buy what you want and not the opposite of what is being hated on.

  
"
4.0 out of 5 stars,"









  
  
    
  The thing I love most about it is the design. It did an amazing job compared to the PS5. Not to mention it's better sized. It is so architectural and minimalist. Mad brutalism/Kaaba vibes. The controller could have been designed better tho. Still has the primary colored buttons which takes away from the black-on-black aesthetic.

  
"
5.0 out of 5 stars,"









  
  
    
  I lucked out and saw an article on the web that Amazon had a limited number of Xbox x Series. I went to Amazon and wow, it was still not sold out. It did about an hour later when I checked. So I lucked out. But the machine is amazing. That is not hyperbole. Borderlands 3 took close to 4-5 minutes opening on my Xbox One X. This machine takes about 10 seconds! from opening the game to playing. The games themselves run as smooth as butter no lag and stuttering on multiplayer games. Love it.

  
"
5.0 out of 5 stars,"









  
  
    
  The most powerful console just got upgraded again to the new most powerful console in my house thanks to this beast of a tower of power. It starts up so quick and older games work even better right out of the box with no updates needed. The Quick Resume feature is probably the most ground breaking thing in gaming not being talked about to this point. It will be even bigger of a story next year and thereafter!

  
"
4.0 out of 5 stars,"









  
  
    
  This is not necessarily Amazon's fault but this was the absolute worst ordering experience of all time... This whole experience was a whole lot of ups and downs but I finally got it and it's supposed to come in today... when I finally got it, I felt as if I was charlie getting the golden ticket in charlie and the chocolate factory. In total, I will make an update when my child opens the present for Christmas and if everything is in good condition. Thank you to everyone for believing in me and I hope you can get your hands on one too.UPDATE: It is now SUPPOSEDLY running late but it says it was shipped to a facility that is about an hour away from me... I will give another update tomorrow.UPDATE: I FINALLY RECEIVED THE CONSOLE AND IT LOOKS STUNNING IN THE BOX...

  
"
5.0 out of 5 stars,"









  
  
    
  FINALLY! I made this preorder on September 22nd and was delayed, pushed back, and finally it shipped! This took way too long but I finally got my hands on it. I’m very happy, but boy was this a hot mess. The setup was super easy and installations are much faster. One happy gamer!

  
"
5.0 out of 5 stars,"









  
  
    
  The package was damaged, but Xbox did a great job at protecting their item. I use it everyday and the processing and graphics are awesome. The SSD drive allows for fast loading times. It’s truly a great system

  
"
5.0 out of 5 stars,"









  
  
    
  I know most people will say there is no reason to upgrade at this time due to no exclusive content, but the loading times alone were worth it.  Borderlands 3 loading times are like 4 times faster.  Game loads in around 1 minute compared to 5 and fast travels are around 13 seconds compared to 1 minute.  Think of how much time people wasted farming on the Xbox One due to those horrendous loading times.  As they say ""Time is Money"" and this system will definitely save you time so you can do other things instead of wasting it on loading screens.

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing piece of hardware,really beyond the Xbox One X,for those who are waiting trust me it’ll be worth it,make sure to have the right TV ready 🤙🏽

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing system! Way better than PS5 in every way. Solid, reliable, fast and powerful. Love the new controller and I'm looking forward to the elite 3 with this design. Hopefully it will be cheaper than the 2.

  
"
3.0 out of 5 stars,"









  
  
    
  Loads faster and looks a tiny bit better. Next Gen? Not at this point.

  
"
5.0 out of 5 stars,"









  
  
    
  This Xbox Series X is a POWERHOUSE. It easily handles games in 4K while holding steady frame rates.

  
"
4.0 out of 5 stars,"









  
  
    
  I liked that this came on time, unlike another order I had from Amazon. It was an early Christmas gift for a friend and he honestly loved it, the resolution is really high and you can tell there was a nice amount of work done and considering I have the Xbox one s, I can especially tell the difference. However, I do not like the shape nor the price, for a 560 price tag you would expect something extra like a second controller or, who knows a headset or something, but nothing. The packaging was kinda nifty tho where it wasn’t a traditional Xbox box. I also did not like the way it was super vertical so I can’t really find a good spot to fit it now without blocking the screen or put it on the floor and hope no one topples it’s over :/

  
"
5.0 out of 5 stars,"









  
  
    
  Best xbox yet. Ignore the haters who can't get one. Everything loads insanely fast and the quick resume feature is amazing. Games just waiting in the background to resume. No wait times after it's loaded. Saves so much time and that's something you have less and less of as you get older and have kids. If you can find one, buy it!

  
"
5.0 out of 5 stars,"









  
  
    
  The console runs games great and loading times are way quicker than before. Its quiet but does take up a bit of space. Also, its way heavier than you would think. Its great overall.

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing if you miss out on next gen try to pick up a one X it was way ahead of its time enhanced games HDR 4K it was 3 years ahead of its time and way underrated.

  
"
5.0 out of 5 stars,"









  
  
    
  From the get-go, this console is easy to setup, think setting up a new iPhone. The quick resume feature is incredibly fast and ""Next Gen"" feeling. The Ray-Tracing is gorgeous and makes old games look new. The speed of the UI is so fast that I get left behind. Buy this console, it's mind blowing.

  
"
3.0 out of 5 stars,"









  
  
    
  I bought this console for the next gens games but every time I try to play a next gen game my console turns off after 30 mins of playing. This only happens to next gen games. I paid good money for this Console and I expected great things, come on Microsoft smh. The game runs smoothly before the console turns off. Everything else works really good no overheating or anything.

  
"
5.0 out of 5 stars,"









  
  
    
  Great Xbox and a seemingly good upgrade from the Xbox One. Build quality seems nice and durable. The footprint of the device is much different than the older versions, to be standing vertically instead of horizontally.Load times are blazing fast. I've been playing Gears Tactics on game pass lately and the load times are dropped by more than half. Don't know if I've tapped into the usefulness of my HDMI 2.1 TV but games look excellent on my Sony X90CH 65"" TV.Overall a worthy upgrade from the previous gen. I'm pretty excited to see how long this device will last me

  
"
5.0 out of 5 stars,"









  
  
    
  I've never been so blown away by a console before, this system truly delivers on what Microsoft promised. Although there aren't many games that can truly take advantage of the hardware performance the series x offers, the games that are x/s enhanced are otherworldly. Silky smooth 4k HDR at 120fps is gorgeous and I'll never go back. And it's soooooo quiet! Quick resume and transfer speeds from/to the seagate drive are a game changer. I transferred 100 Gb in 3 minutes. Crazy! I'm so happy with this console and can't wait for the next generation of gaming!

  
"
4.0 out of 5 stars,"









  
  
    
  Exclusives aren’t there yet but the game pass ultimate subscription is a great value as had different games to try out.  Loading is a lot quicker too.My only complaint would be the guide is exactly the same and the controller feels identical which sucks as it doesn’t feel like a next gen but a refresh.  Wish they would have revamped both like sony did

  
"
5.0 out of 5 stars,"









  
  
    
  I am a PC gamer but when the Series X was announced I was going to pre-order.Console is great, well made and looks cool.Gameplay is honestly amazing at 4K. Some games run just as well if not better than my gaming rig PC, and I have a pretty solid PC.The controller is great and improved over an already really good controller design. The reach is much further than the gen 2 Xbox one controllers and the share button is great.I highly recommend this system to anyone. Having Gamepass ultimate with EA games included is an unreal value.

  
"
5.0 out of 5 stars,"









  
  
    
  Xbox series x is the real deal. Fast load times. 60 frames per second on games like assassin's creed valhalla. The new controller is really nice, a bigger improvement than people think. Tons of games to play on gamepass. Setting it up is seamless. The series x console runs whisper quiet. Next generation is here and xbox is better than ever.

  
"
4.0 out of 5 stars,"









  
  
    
  Xbox has finally perfected building a great console now it needs to work on getting some games out for that great console. If you have an xbox one x I would highly recommend waiting until they start releasing more games as there just isnt enough to play for next gen games that justify paying $500+. No complaints with the hardware though.

  
"
5.0 out of 5 stars,"









  
  
    
  Got this as a gift for myself.  Jumped on the pre order when it was first offered.  Love it so far.Awesome piece of tech.  Fantastic looking game system.  Comes packaged in a luxurious box.  The unboxing was amazing.So far the system runs fantastic.  Its so silent, you can't tell its on.  I've played a ton of older games and the backwards compatibility is second to none.  I've also played a few new games and they look and run very solid.Now we just need more games!

  
"
5.0 out of 5 stars,"









  
  
    
  Exceptional hardware. Loading times and smoother gameplay/graphics are the winners here. Same UI you're used to and snappy menus. Quick Resume is a great and old games look better than before. Game pass is the killer app so far. If microsoft can bring the exclusives in 2021, it's a home run for Xbox.

  
"
5.0 out of 5 stars,"









  
  
    
  Loving it! Xbox series X is awesome. I mean if your here to potential buy one then I dought I need to convince you.

  
"
5.0 out of 5 stars,"









  
  
    
  So somehow the other day I was on Amazon and I was able to buy an Xbox that was here in under a week!!! It is for my son for Xmas I definitely should have bought more than the one .I was so excited to actually even buy one though! One thing that sucks is amazon uses ups sometimes for shipping I’ve had two things in the last month take longer than expected. Overall definitely excited to give my som an Xbox for Christmas!!!!

  
"
5.0 out of 5 stars,"









  
  
    
  This system is SMOOTH as butter. You can't get any better than if you go full fledged gaming PC. Going from a first gen Xbox one S to this, super nice. FYI those smoking videos are faked with vapes lol wtf.

  
"
5.0 out of 5 stars,"









  
  
    
  Been an Xbox fan since the OG.  This is an amazing system.  1st party game selection is a little slim at launch but there's a lot of previous gen games upgraded to run on this thing.  Very lucky I was able to get one on release day.

  
"
5.0 out of 5 stars,"









  
  
    
  I actually got mine! I love it so far. It's quiet, fast, and it works with my 1080p 144hz monitor until I upgrade. Can't wait for Halo Infinite and Cyberpunk

  
"
5.0 out of 5 stars,"









  
  
    
  Quality is the best! Is the most powerful next gen console currently out right now! I don’t like how the used the same old last gen display interface but that’s okay, I have the ps5 as well and the quality on the Xbox is a lot better! Especially when u play call of duty warzone online, huge difference in input lag because the Xbox provides a easier backward compatibility updater  because of its design. The Ps5 on the other hand struggles with updating backward compatibile games. They either have input lags or are chopping at times. Xbox truly shows it’s power! 5 out of 5

  
"
5.0 out of 5 stars,"









  
  
    
  Loving my Series X! I love how quick load times are for games and being able to switch between multiple games. Resolution is insanely good. Set up was really easy and you can set it up through an app. I also went for Game Pass which is a great value and basically lets me nerd out with tons of games!

  
"
5.0 out of 5 stars,"









  
  
    
  It's everything that I expected..with the game pass it's the console to get..may not have any new 1st party titles at launch but with the game pass and alot of the games like gears 5 and forza horizon 4 getting 4k upgrades then it's absolutely worth the buy. The series X is also extremely quiet...all that power in a little box that sounds that quiet is hard to believe but xbox did it..microsoft definitely did everything right this generation.

  
"
5.0 out of 5 stars,"









  
  
    
  This consoles amazing, straight up beast runs games at 60 fps at 4k most of the time. There are still not games enchanted for this but even then HDR comes in and makes them look beautiful either way. The heat on the console is not as bad as I thought it is when you put your hand on it but thats fine. I'm proud with this product and Amazon got it on time. Now let me tell you that if you have an Xbox one x I would wait a while, even though this is a beast it does not come with any exclusively so if your just wanting it for something new don't expect to be blown away.

  
"
3.0 out of 5 stars,"









  
  
    
  Pre-ordered a series X and my original order was cancelled so I reordered one from Amazon and when it finally arrived and I opened the box all the cords were bunched up and the controller had the batteries in it and had clearly been used. System works fine so far but it was a bit disappointing to get a new system that was clearly already used by somebody.

  
"
5.0 out of 5 stars,"









  
  
    
  This system is Amazing! It’s super quiet and fast! Lots of storage! Can’t wait to get all my games on this system

  
"
1.0 out of 5 stars,"









  
  
    
  Console is defective. Turned it on to play for a few hours and it stopped working. Unplugged console for 30 mins and still the same problem.  Going to wait a day to see if there’s any change but this is ridiculous.

  
"
5.0 out of 5 stars,"









  
  
    
  Roth every penny.  Lightning quick startup, great graphics that you call tell a difference the first time you play and future proof for several years.

  
"
5.0 out of 5 stars,"









  
  
    
  Its a monolithic symbol of man's achievements to interactive media. A juggernaut of gaming sexuality and spite. Touch it, taste it, play it.

  
"
5.0 out of 5 stars,"









  
  
    
  AmazingMind blowingIt makes senseNo long waiting timesInsane graphicsQuiet and powerful

  
"
5.0 out of 5 stars,"









  
  
    
  First off I’d like to say the console has been awesome since I’ve received it. I ordered to receive day one but did end up receiving 3 days afterwards which was fine with me... kinda. Installing the system to my setup was easy. Very smooth and great graphics. Definetly excited for the long haul.Few bad things I’ve noticed with Bluetooth issues with my headset and controller. They will only reconnect with I hard reset the console, a slight burning plastic smell but that’s been slowly going away, only bad things I noticed really lol

  
"
5.0 out of 5 stars,"









  
  
    
  Runs like a dream! Everything about the console so far has been great. Solid 4K 60FPS (limited by my TV) is very nice compared to the One S. Games load extremely fast due to the SSD.

  
"
5.0 out of 5 stars,"









  
  
    
  Just as advertised, high speed, great video quality, beware you’ll need a 4K TV to truly enjoy this feature, and if the TV or monitor is 120hz even better.  Easier to setup with the Xbox App, and the overall experience was good.  The controller feels good.

  
"
5.0 out of 5 stars,"









  
  
    
  Setup was super simple. I just plugged in my old HDD, and all my X1X console settings were downloaded from the cloud.I’ve had no issues so far. Every game I put in l runs beautifully, and load times are minimal. Good stuff, and it just works.

  
"
5.0 out of 5 stars,"









  
  
    
  It’s an XBox. It does what it’s supposed to and does it well. Load times are significantly better for everything I play. Much more enjoyable but no drink/potty breaks on loading screens. Looking forward to playing a game designed  to use it better.

  
"
4.0 out of 5 stars,"









  
  
    
  The xbox series x works great, but has a few bugs. For example, sometimes the xbox simply refuse to turn off unless you take out the batteries from the controller, because it keep turning the console back on automatically. I might have a ghost or something though so that might be it.

  
"
5.0 out of 5 stars,"









  
  
    
  Amazing console!!! If you can get your hands on one, be fast!!

  
"
1.0 out of 5 stars,"









  
  
    
  Broken out of the box and no way to talk to anyone to troubleshoot it. This world is a mess if you need customer service these days. There’s no one there to help. Will be returning. Pretty worthless if you can’t connect a controller.

  
"
4.0 out of 5 stars,"









  
  
    
  Let me get the ugly out of the way first. The industry as a whole completely botched the release of this generation of consoles. Pandemic aside, supply was nowhere near adequate to demand and very likely should have waited until late Winter/early Spring 2021 to launch. Additionally, internet commerce infrastructure was wholly inadequate to handle orders, particularly ones plagued by shopping bots used by scalpers to scoop up the already limited supply and sell them for outrageous markups. Let's hope this was a learning experience for everyone, and measures are being put in place to avoid this from happening in the future. Since this isn't a review of the industry, it won't affect my final score. But it all bore saying nonetheless.Right then, that out of the way... Despite my September 22 pre-order being delayed delivery by a day, my Series X arrived on November 11. Microsoft did an admirable job with the packaging, and the unboxing felt like an event. Once you broke the transparent seals on the box, the lid lifted like a treasure chest, the XBox nestled in thick packing foam on either side and from the lid above. The console was carefully wrapped in thin black paper-foam with an black and green banner around it that boldly invited you to ""Power Your Dreams!""Set-up was a breeze. The Series X comes complete with HDMI 2.1 cable for 4K UHD display, power cord (and no ungainly brick this time), and of course the evolutionary Series controller. With everything connected, the first powerup was exciting. The new splash screen is powerful, reminiscent of the old THX sound intro that is truly amazing if you have the volume turned up. Once setup begins in earnest, you can continue either using the controller or by coupling the console with the new XBox app on your phone. I encountered a few issues using the phone app (which is still listed as a beta on the android market), so I continued the setup with the controller. It went without a hitch and plugged all my old XBox One settings in through the miracle of the Cloud. I also plugged in my external HDD, and it happily recognized all my old games.The user interface is like the return of a familiar old friend. It's very much like the latest iteration on the XBox One family, and you'll be right at home from the very beginning. I know a common complaint is that it didn't seem ""next gen enough"" for many, but there's something to be said for being able to navigate a new device without having to learn all the new nooks and crannies they've shuffled things into. The first thing you'll notice is how fast the UI is now. ""Snappy"" is a term often used to describe how it feels. There's no lag in moving from section to section, button presses register immediately and there's the sense that the whole UI has had a quiet yet unmistakable injection of horsepower. The store, rather than appearing tacked-on and sluggish, comes up post haste. Overall the system is very responsive, and a pleasure to use.Of course, the system really shines if you have Game Pass. Those new to XBox who take advantage of the Game Pass introductory offer will be treated to over a hundred titles you can immediately download and play. Additionally, EA Play and Microsoft teamed up, so the player has access to dozens more games from the EA library. Sports titles like Madden and FIFA, old school RPG's like the Dragon Age series and much more are at your fingertips. Many titles either already have been enhanced to take advantage of the Series S/X feature set, or are currently being updated for the very same.Now, all of this is to dance around the very obvious omission in the Series launch: a lack of original and unique launch titles. Halo Infinite was to be that vehicle for Microsoft, but after this Summer's lackluster presentation, the game was delayed until 2021. Its absence is keenly felt in the marketing and product packaging which still prominently features Master Chief as its launch mascot.That said, the future looks bright indeed for the XBox. Microsoft's manic acquisition of studios, not least of which is the still-pending Zenimax deal, promises some console exclusives that are truly ground-breaking. Between Bethesda's rich legacy in the Elder Scrolls and Fallout, Arkane and id Software, and much more, there is an embarrassment of riches on the horizon for XBox players, as well as PC and mobile gamers who plug into the Game Pass content conduit.That's all fine and well, but launch exclusives aside, how does it play games? The answer is, ""Quite well, actually!"" Those titles explicitly enhanced to take advantage of the new consoles' power are vibrant, buttery-smooth at 60 (or even 120 in some instances) frames per second, and a joy to both behold and to experience. Even older legacy titles from the original XBox and 360 eras can take advantage of the raw power that the Series brings to bear, with many benefiting from graphical upscaling, auto-HDR, and other behind-the-scenes enhancements. If you've been immersed for years in the XBox culture, you have likely amassed quite the library of games, the vast majority of which are playable on the new hardware.Finally, the new controller as has been mentioned previously, is more evolutionary than revolutionary. The back of the shell has a textured ""grippy"" new feel to it, as have the shoulder- and trigger buttons. The D-pad now features more of an 8-way control surface rather than the more familiar 4 cardinal directions. The sticks also have a slightly different feel and grip; not so much that it's unfamiliar, but it's noticeable nevertheless. A downside is Microsoft's insistence on not shipping the controller with a rechargeable battery. It takes two ""AA"" cells, and to be fair it's pretty conservative on power draw with a fresh pair of alkalines lasting a good many hours of play. And you can buy the branded recharge kit for an additional $25-ish, but seriously in this day and age, it should come as standard equipment. Luckily, the controller is so similar to the XBox One's controller, that many of the latter's add-ons work perfectly well on the new one. I swapped the recharge pack from my XBO's controller with no issue, and aside from requiring a USB-C cable rather than the older micro-USB connector, it works just fine. The same is true of the headset adapter that plugs into the bottom of the unit. It works without a hitch, which suits me just fine.OK, final verdict. The Series X is a great powerhouse of a next gen console. While Game Pass is a great deal and I can heartily recommend it, the new consoles are at time of launch a weapon in search of a war. With no new titles to really showcase the new features of the console, the whole experience, while somewhat satisfying, feels a bit hollow. I'm sure once the new titles start flowing in the coming months and years, the true value of the Series consoles will shine forth, but if it's a ""fear of missing out"" experience, I can honestly recommend you wait until availability and new titles can be brought together next year. For that reason, as of the date of writing this (November 22, 2020), I'm reserving one star from the review in the hopes that once those new titles arrive I can revise the review and give the XBox Series X the 5-stars it rightly deserves.Now if I could only get my hands on a Playstation 5... ugh. *rolls eyes*

  
"
5.0 out of 5 stars,"









  
  
    
  Great console, easy to set up (it's fast if you use the Xbox App didn't try the other normal way). If you're an everyday Xbox player, once set up, everything is familiar and ready to go. Truly feels like a PC upgrade more than a console upgrade with how smooth everything is.Also don't buy from scalpers, just wait, you're not missing anything even remotely worth the price they are charging.

  
"
1.0 out of 5 stars,"









  
  
    
  Worked for 1 day. Then it shutdown and never turned on again.  Already sent it back to Microsoft for replacement.  We will see how long that takes...

  
"
